Entry Time,Exit Time,Entry Price,Exit Price,direction,Signal Type,Exit Reason,PnL %,Direction
2025-02-02 09:15:00,2025-02-02 09:40:00,0.30076,0.30218,1,MeanRev_Long,5-Bar Time Stop,0.41213725229418036,LONG
2025-02-02 15:25:00,2025-02-02 15:40:00,0.29221,0.29481918,1,MeanRev_Long,Trailing Stop,0.8329126313267815,LONG
2025-02-02 22:35:00,2025-02-02 22:40:00,0.25983,0.25775136,1,MeanRev_Long,Stop Loss,-0.8600000000000078,LONG
2025-02-03 00:20:00,2025-02-03 00:30:00,0.25576,0.25371392,1,MeanRev_Long,Stop Loss,-0.8600000000000022,LONG
2025-02-03 00:40:00,2025-02-03 00:50:00,0.24584,0.24817548000000003,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000117,LONG
2025-02-03 01:00:00,2025-02-03 01:05:00,0.25477,0.25273184,1,MeanRev_Long,Stop Loss,-0.8600000000000043,LONG
2025-02-03 01:20:00,2025-02-03 01:35:00,0.24604,0.24837738000000004,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000112,LONG
2025-02-03 01:50:00,2025-02-03 01:55:00,0.22831,0.22648352000000002,1,MeanRev_Long,Stop Loss,-0.8599999999999962,LONG
2025-02-03 02:00:00,2025-02-03 02:05:00,0.22164,0.21986688000000001,1,MeanRev_Long,Stop Loss,-0.8599999999999951,LONG
2025-02-03 10:55:00,2025-02-03 11:05:00,0.26176,0.2591424,-1,MeanRev_Short,TP2 Hit (Runner),0.9399999999999992,SHORT
2025-02-03 12:55:00,2025-02-03 13:05:00,0.25123,0.253616685,1,MeanRev_Long,TP2 Hit (Runner),0.8899999999999998,LONG
2025-02-03 13:25:00,2025-02-03 13:35:00,0.24756,0.24991182,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000017,LONG
2025-02-03 14:00:00,2025-02-03 14:05:00,0.24614,0.24417088,1,MeanRev_Long,Stop Loss,-0.8599999999999963,LONG
2025-02-03 14:10:00,2025-02-03 14:20:00,0.24381,0.24185952,1,MeanRev_Long,Stop Loss,-0.8600000000000018,LONG
2025-02-03 14:30:00,2025-02-03 14:40:00,0.25622,0.25826976,-1,MeanRev_Short,Stop Loss,-0.8600000000000045,SHORT
2025-02-03 22:00:00,2025-02-03 22:05:00,0.28885,0.2911608,-1,MeanRev_Short,Stop Loss,-0.8600000000000005,SHORT
2025-02-04 02:55:00,2025-02-04 03:20:00,0.28191,0.28086,1,MeanRev_Long,5-Bar Time Stop,-0.43245929551984513,LONG
2025-02-04 03:25:00,2025-02-04 03:45:00,0.27996,0.281047795,1,MeanRev_Long,Trailing Stop,0.328553721960281,LONG
2025-02-04 04:35:00,2025-02-04 04:45:00,0.27906,0.28104678000000005,1,MeanRev_Long,Trailing Stop,0.6519544184046717,LONG
2025-02-04 05:00:00,2025-02-04 05:10:00,0.27388,0.2725106,1,MeanRev_Long,Stop Loss,-0.5600000000000075,LONG
2025-02-04 05:15:00,2025-02-04 05:25:00,0.26523,0.26310816000000004,1,MeanRev_Long,Stop Loss,-0.8599999999999947,LONG
2025-02-04 05:30:00,2025-02-04 05:40:00,0.2592,0.26355184,1,MeanRev_Long,Trailing Stop,1.6189506172839492,LONG
2025-02-04 11:05:00,2025-02-04 11:15:00,0.27228,0.27043979999999995,-1,MeanRev_Short,Trailing Stop,0.6158483913618589,SHORT
2025-02-04 12:30:00,2025-02-04 12:45:00,0.27397,0.2712303,-1,MeanRev_Short,TP2 Hit (Runner),0.9400000000000042,SHORT
2025-02-04 14:10:00,2025-02-04 14:20:00,0.26724,0.26977878,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000069,LONG
2025-02-04 14:35:00,2025-02-04 14:45:00,0.27405,0.27130950000000004,-1,MeanRev_Short,TP2 Hit (Runner),0.9399999999999924,SHORT
2025-02-04 15:00:00,2025-02-04 15:10:00,0.26963,0.26828185,1,MeanRev_Long,Stop Loss,-0.5599999999999972,LONG
2025-02-04 19:10:00,2025-02-04 19:25:00,0.27407,0.27421,-1,MeanRev_Short,Stall Filter (Bar 3),-0.11108184040574633,SHORT
2025-02-04 19:40:00,2025-02-04 19:50:00,0.27413,0.2713887,-1,MeanRev_Short,TP2 Hit (Runner),0.940000000000001,SHORT
2025-02-04 19:55:00,2025-02-04 20:05:00,0.26543,0.26330656,1,MeanRev_Long,Stop Loss,-0.8599999999999911,LONG
2025-02-04 20:15:00,2025-02-04 20:25:00,0.26202,0.2607099,1,MeanRev_Long,Stop Loss,-0.5599999999999927,LONG
2025-02-04 20:30:00,2025-02-04 20:40:00,0.26219,0.264680805,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000154,LONG
2025-02-04 21:35:00,2025-02-04 21:50:00,0.25702,0.25945006,1,MeanRev_Long,Trailing Stop,0.8854750603065737,LONG
2025-02-05 00:25:00,2025-02-05 00:35:00,0.26482,0.26330556,-1,MeanRev_Short,Trailing Stop,0.5118752360093671,SHORT
